"","step","type","amount","nameOrig","oldbalanceOrg","newbalanceOrig","nameDest","oldbalanceDest","newbalanceDest","isFraud","isFlaggedFraud"
"1044751",94,"PAYMENT",11471.27,"C1778080175",7721.93,0,"M1433997465",0,0,0,0
"3173978",238,"CASH_OUT",241570.46,"C1825085611",0,0,"C829449116",270112.33,511682.79,0,0
"5679915",397,"CASH_OUT",255746.97,"C205980061",0,0,"C17932933",760693.34,1016440.31,0,0
"1880361",164,"PAYMENT",20592.2,"C1312814205",31114,10521.8,"M1756132793",0,0,0,0
"3837208",282,"DEBIT",3968.78,"C1889105036",11351,7382.22,"C1388298321",195906.9,199875.68,0,0
"4960657",351,"CASH_OUT",16148.47,"C1663368757",465,0,"C752714383",46068.01,62216.48,0,0
"3241741",250,"CASH_IN",236263.15,"C776584931",1571499.72,1807762.87,"C601544374",491617.43,255354.28,0,0
"3633517",274,"CASH_IN",54520.82,"C1977640064",99682,154202.82,"C314105596",915644.18,861123.35,0,0
"2709007",211,"PAYMENT",3756.9,"C2026414456",30429,26672.1,"M689565730",0,0,0,0
"129909",11,"CASH_OUT",25847,"C835522855",0,0,"C1493513506",10650818.78,10676665.78,0,0
"5973740",407,"CASH_OUT",367100.35,"C881997079",0,0,"C753569429",1113303.79,1480404.15,0,0
"290917",15,"PAYMENT",17965.45,"C1717142518",31552.92,13587.48,"M205922107",0,0,0,0
"651057",35,"TRANSFER",93322.09,"C1583586994",0,0,"C1289728573",119841.55,213163.64,0,0
"24799",8,"PAYMENT",14871.67,"C1691778052",1170253.16,1155381.49,"M574675842",0,0,0,0
"572735",24,"PAYMENT",10529.77,"C1249820327",0,0,"M361607550",0,0,0,0
"1941713",177,"PAYMENT",3599.65,"C435440216",159638,156038.35,"M848735465",0,0,0,0
"1301401",136,"TRANSFER",156299.56,"C419198810",22246,0,"C1391141483",2308937.4,2465236.96,0,0
"5113697",355,"CASH_OUT",206420.7,"C1572269012",72309,0,"C1470059343",1535830.94,1742251.64,0,0
"4647321",330,"PAYMENT",49450.74,"C1532181309",0,0,"M1530534550",0,0,0,0
"4088410",301,"TRANSFER",1406563.53,"C1571369372",183,0,"C302865568",0,1406563.53,0,0
"1911375",166,"CASH_IN",42480.66,"C1691526212",15635,58115.66,"C1393424258",2606240.61,2563759.95,0,0
"2959651",230,"PAYMENT",18722.75,"C1403385668",705,0,"M589060610",0,0,0,0
"6147621",546,"CASH_IN",77937.73,"C1921464568",49064,127001.73,"C132718315",0,0,0,0
"4844883",347,"CASH_OUT",500076.56,"C1868017916",0,0,"C232364645",3956273.69,4456350.25,0,0
"5511982",380,"CASH_OUT",76276.26,"C11553503",0,0,"C160616612",887624.41,963900.67,0,0
"3065440",234,"PAYMENT",37873.39,"C1966376075",90456,52582.61,"M142392136",0,0,0,0
"3296393",252,"CASH_IN",177663.36,"C1459471217",3893579.86,4071243.22,"C1919044200",3325525.72,3147862.36,0,0
"4399677",321,"CASH_OUT",307267.04,"C1405536652",0,0,"C1406242996",4461851.58,4769118.62,0,0
"4776540",335,"PAYMENT",11940.21,"C789450431",204991,193050.79,"M1680008165",0,0,0,0
"1634356",157,"PAYMENT",24800.2,"C1530970013",82852,58051.8,"M1662864780",0,0,0,0
"2621237",208,"CASH_OUT",1138.28,"C1515948078",0,0,"C592217386",27225.04,28363.31,0,0
"4125493",302,"CASH_OUT",101873.69,"C202277814",386018.92,284145.23,"C1150595608",940446.07,1042319.76,0,0
"3912888",284,"TRANSFER",442043.11,"C826281869",300476.12,0,"C835326048",2981911.59,3423954.69,0,0
"3674285",276,"CASH_IN",257925.13,"C523445207",3552691.4,3810616.52,"C1414482348",478528.06,220602.93,0,0
"1892578",165,"CASH_IN",294786.75,"C1354959048",6310840.32,6605627.08,"C1528148158",544181.04,249394.29,0,0
"5794267",401,"CASH_OUT",152783.36,"C270791275",0,0,"C341904980",257637.52,410420.88,0,0
"5708985",398,"CASH_OUT",122881.92,"C1491133220",5244,0,"C854935346",0,122881.92,0,0
"765051",38,"PAYMENT",2782.57,"C1548703195",4407,1624.43,"M1288583333",0,0,0,0
"5952476",405,"PAYMENT",5859.4,"C1589571700",506,0,"M1152410102",0,0,0,0
"1175661",132,"PAYMENT",5044.89,"C1234689347",327246.91,322202.01,"M1588765306",0,0,0,0
"5710567",398,"CASH_IN",421040.99,"C488663196",8382349.39,8803390.38,"C1389906300",9876210.67,9455169.68,0,0
"1276644",135,"PAYMENT",5643.24,"C1435026647",0,0,"M1818452844",0,0,0,0
"5408922",378,"PAYMENT",12966.75,"C398671518",155883.53,142916.78,"M1140561808",0,0,0,0
"1744703",161,"TRANSFER",329556.1,"C1089152851",0,0,"C164783331",2865396.08,3194952.18,0,0
"5787218",401,"CASH_IN",84468.42,"C59078213",19965,104433.42,"C1642598878",25979.27,0,0,0
"4171625",304,"PAYMENT",9205.78,"C1938520148",0,0,"M659656068",0,0,0,0
"2065198",181,"CASH_OUT",255101.87,"C2091231049",8044,0,"C1097804311",0,255101.87,0,0
"980110",44,"CASH_OUT",137431.11,"C2110445176",43187,0,"C2120471729",84831.8,222262.9,0,0
"886337",42,"PAYMENT",13973.68,"C1178172348",0,0,"M1213249799",0,0,0,0
"1351793",137,"PAYMENT",9799.96,"C1876763164",22098,12298.04,"M181698274",0,0,0,0
"2881858",228,"CASH_OUT",338142.65,"C1729826742",15525,0,"C747653749",0,511239.14,0,0
"1402666",139,"PAYMENT",3086.83,"C858873441",34715.92,31629.09,"M1026936860",0,0,0,0
"269418",15,"CASH_OUT",25451.39,"C2023818476",143795,118343.61,"C1279114658",53926.22,79377.61,0,0
"5678017",397,"CASH_OUT",220970.84,"C1225190518",10668,0,"C1383513926",0,220970.84,0,0
"3559280",260,"PAYMENT",2997.87,"C1832089676",31536.8,28538.94,"M1641786240",0,0,0,0
"1066685",120,"PAYMENT",11861.94,"C1735886926",11286,0,"M405734809",0,0,0,0
"4543083",326,"CASH_OUT",66887.32,"C1376176585",0,0,"C1565830234",872363.97,939251.29,0,0
"5555742",383,"PAYMENT",4711.15,"C8251176",99876,95164.85,"M1086474873",0,0,0,0
"5317467",374,"CASH_IN",50665.38,"C366154465",49528,100193.38,"C1811383832",7242227.23,7191561.84,0,0
"3836457",282,"PAYMENT",3419.17,"C1239341617",223360.7,219941.53,"M687143537",0,0,0,0
"4146604",303,"CASH_IN",293363.69,"C67079937",31370,324733.69,"C1138115307",926872.08,633508.39,0,0
"3327468",253,"CASH_IN",131096.66,"C184611120",4813009.25,4944105.91,"C854499341",279768.36,148671.71,0,0
"5293775",373,"PAYMENT",12434.85,"C1376139197",16208,3773.15,"M1005425884",0,0,0,0
"853668",41,"CASH_OUT",344011.28,"C843943854",67757,0,"C1575240515",408906,752917.27,0,0
"4715532",332,"CASH_IN",179864.06,"C796148764",1025136.46,1205000.53,"C186754767",2811976.08,2632112.02,0,0
"2062691",181,"CASH_IN",149777.63,"C163906192",27292,177069.63,"C592979763",1195166.83,1805005.65,0,0
"4657606",330,"CASH_IN",206979.49,"C252570951",5085,212064.49,"C36935325",1230460.9,1023481.41,0,0
"5347450",375,"PAYMENT",7573.47,"C664803157",0,0,"M1539367946",0,0,0,0
"3199573",249,"TRANSFER",518273.09,"C1060354960",0,0,"C1648214200",7033027.49,7551300.58,0,0
"1286457",135,"PAYMENT",39416.36,"C833900829",0,0,"M663103981",0,0,0,0
"1971808",178,"CASH_OUT",294982.08,"C1575689809",629,0,"C838428216",422015.51,716997.59,0,0
"5284812",372,"CASH_OUT",48002.03,"C110892528",0,0,"C1070297595",2636130.05,2684132.08,0,0
"5650531",396,"CASH_IN",244032.36,"C353508077",235,244267.36,"C10873203",0,0,0,0
"5124501",356,"CASH_OUT",172463.83,"C1658286259",10213,0,"C2051691984",0,172463.83,0,0
"36409",9,"PAYMENT",5859.38,"C347872623",267048,261188.62,"M1694120250",0,0,0,0
"3677534",276,"CASH_OUT",237847.67,"C1617080648",0,0,"C1683741102",3931804.7,4169652.37,0,0
"5583785",394,"CASH_OUT",43147.63,"C2073486683",0,0,"C1081200376",503307.2,546454.83,0,0
"3571027",261,"CASH_OUT",137253.6,"C228129722",5004,0,"C798666449",0,137253.6,0,0
"6250692",596,"CASH_OUT",299336.03,"C1641342824",10391.92,0,"C110846208",527395.71,826731.74,0,0
"1534063",154,"CASH_OUT",230128.73,"C1708093689",10659,0,"C1557387648",0,230128.73,0,0
"758136",38,"CASH_OUT",427002.41,"C2096169551",202439,0,"C1024818788",0,427002.41,0,0
"337414",16,"CASH_OUT",81075.88,"C1890451143",65200,0,"C1774840370",374148.66,455224.54,0,0
"331165",16,"CASH_OUT",33461.34,"C19207868",0,0,"C1501560136",61026,556093.52,0,0
"625617",34,"TRANSFER",781793.52,"C1434969101",418871.13,0,"C1336969293",893172.51,1674966.03,0,0
"5237932",371,"PAYMENT",27584.13,"C546544817",0,0,"M1787958698",0,0,0,0
"3255022",251,"PAYMENT",15075.14,"C1999865875",60015,44939.86,"M1198598225",0,0,0,0
"6072819",514,"CASH_IN",28338.26,"C810137159",1655933.17,1684271.43,"C653813634",1684816.4,1656478.13,0,0
"5082069",355,"TRANSFER",57085.84,"C1443413992",577809.94,520724.1,"C1333413179",70373.67,127459.52,0,0
"2798350",217,"PAYMENT",4157.9,"C1140852507",31113,26955.1,"M746359788",0,0,0,0
"5965353",406,"PAYMENT",38084.68,"C1896360898",11320,0,"M1991937186",0,0,0,0
"465444",19,"PAYMENT",7500.86,"C1531391635",0,0,"M457847429",0,0,0,0
"702366",37,"CASH_OUT",15235.6,"C1888921933",0,0,"C1112462464",1223851.29,1239086.89,0,0
"4890822",349,"CASH_OUT",406343.6,"C1230104852",199514,0,"C873334835",1174468.9,1580812.5,0,0
"5348556",375,"CASH_OUT",193082.73,"C769992702",1246,0,"C871770027",153351.88,346434.61,0,0
"1873945",164,"PAYMENT",28662.57,"C843180448",13289,0,"M466629041",0,0,0,0
"5491782",380,"CASH_OUT",210093.09,"C1063565201",20400,0,"C766783067",0,210093.09,0,0
"3504630",259,"CASH_OUT",213687.24,"C1045188273",0,0,"C785371581",3572893.88,3786581.12,0,0
"2169985",185,"CASH_IN",45842.33,"C1833974378",653,46495.33,"C1769663312",1317880.33,1272038,0,0
"3297921",252,"CASH_OUT",64644.5,"C1706870617",0,0,"C560201252",1508883.32,1393540.1,0,0
"5513156",380,"PAYMENT",4923.94,"C2074460600",498443.29,493519.35,"M181322577",0,0,0,0
"1915119",166,"PAYMENT",9560.15,"C444457154",72,0,"M1342979528",0,0,0,0
"5377471",376,"PAYMENT",29573.36,"C84128752",378004.95,348431.59,"M1678194644",0,0,0,0
"132544",11,"CASH_IN",67744.84,"C1661944005",1413393.65,1481138.49,"C1762403537",616176.03,698340.35,0,0
"5789172",401,"CASH_OUT",123499.21,"C746039418",0,0,"C1765937777",199148.97,322648.18,0,0
"856654",41,"TRANSFER",224644.77,"C97595176",0,0,"C1405309586",269186.68,493831.45,0,0
"4714313",332,"PAYMENT",2543.33,"C1679526398",80667,78123.67,"M1811772981",0,0,0,0
"1063656",119,"CASH_IN",103965.44,"C1678222058",5059648.51,5163613.95,"C339099861",4139472.69,4035507.24,0,0
"5326838",374,"PAYMENT",11192.11,"C1391043956",29954,18761.89,"M620032704",0,0,0,0
"3837658",282,"CASH_OUT",241109.31,"C883257538",0,0,"C164566037",337476.35,382913.38,0,0
"2416252",202,"CASH_IN",397288.35,"C48568318",2581677.04,2978965.39,"C602943014",3062519.18,2665230.83,0,0
"3368421",254,"PAYMENT",20467.46,"C1333172231",2071,0,"M1070012552",0,0,0,0
"3204381",249,"CASH_OUT",446934.86,"C1515273491",73770.53,0,"C1106360080",504613.28,951548.14,0,0
"2427281",202,"CASH_OUT",117672.94,"C1653470267",24998,0,"C927644652",0,117672.94,0,0
"5081693",355,"CASH_IN",74370.09,"C1291434664",42188,116558.09,"C1744648352",7032898.41,7444774.85,0,0
"4821480",346,"PAYMENT",3239.14,"C716558680",0,0,"M642617335",0,0,0,0
"5884436",403,"PAYMENT",11789.19,"C271278199",87047.96,75258.77,"M759900828",0,0,0,0
"3404028",255,"PAYMENT",20586.51,"C2031676234",303441,282854.49,"M334485332",0,0,0,0
"3235611",250,"CASH_OUT",236085.71,"C381497308",0,0,"C54670272",647853.34,1024503.61,0,0
"6015557",451,"CASH_OUT",252053.36,"C1620664620",0,0,"C695713069",784735.92,1036789.28,0,0
"1340168",137,"CASH_IN",247210.18,"C456387627",4927374.97,5174585.15,"C2063115099",1065898.91,818688.73,0,0
"3866624",283,"CASH_IN",44106.39,"C2010717406",3083026.77,3127133.16,"C1438614380",57822.29,13715.89,0,0
"3766012",279,"PAYMENT",25494.05,"C2129177235",1420,0,"M900919931",0,0,0,0
"1040507",94,"PAYMENT",17522.56,"C387414734",768,0,"M1594439257",0,0,0,0
"3236075",250,"PAYMENT",12231.43,"C1653649975",0,0,"M1477253902",0,0,0,0
"2956253",230,"CASH_OUT",43042.82,"C1466198192",0,0,"C1647077925",218873.21,261916.03,0,0
"4524336",326,"CASH_OUT",513895.61,"C1423679638",0,0,"C2110301116",957426.51,1471322.11,0,0
"3705420",277,"PAYMENT",5562.78,"C307910728",188545.16,182982.38,"M1616070463",0,0,0,0
"1832257",163,"CASH_OUT",337638.85,"C865760771",1159,0,"C1438479249",0,429710.39,0,0
"2177935",185,"CASH_OUT",109647.46,"C1289863648",0,0,"C940205324",121850.91,231498.37,0,0
"5647771",396,"CASH_OUT",151399.07,"C1881755919",0,0,"C991329153",400809.79,552208.86,0,0
"2907526",228,"CASH_IN",55142.88,"C1053989393",16612,71754.88,"C1283403328",33115.95,0,0,0
"2702861",211,"PAYMENT",1475.61,"C184850810",293621,292145.39,"M29809561",0,0,0,0
"2546709",206,"PAYMENT",13072.78,"C271291829",142039.99,128967.22,"M407863941",0,0,0,0
"5042712",354,"CASH_OUT",450392.96,"C1974700530",0,0,"C1139008326",1112041.17,1562434.13,0,0
"1710700",160,"CASH_IN",423162.37,"C1808738766",10943,434105.37,"C355105316",2377395.13,1954232.76,0,0
"908359",43,"CASH_OUT",148742.77,"C1113055024",369,0,"C541447155",0,148742.77,0,0
"1444746",140,"CASH_OUT",129744.52,"C581381587",0,0,"C1229020803",1618069.92,1747814.44,0,0
"1297337",136,"DEBIT",5015.67,"C44179943",599113,594097.33,"C1851914880",3258479.65,3263495.31,0,0
"2562454",206,"CASH_OUT",381854.25,"C21091291",14529,0,"C2107139610",134338.43,516192.68,0,0
"3608676",265,"PAYMENT",3973.83,"C389119771",163,0,"M1125002284",0,0,0,0
"1725717",160,"CASH_IN",379679.71,"C1829249070",152937,532616.71,"C1368384045",0,0,0,0
"5491976",380,"PAYMENT",19730.03,"C1319452532",39710,19979.97,"M2003008098",0,0,0,0
"4827402",347,"TRANSFER",2329015.71,"C355465839",39430,0,"C266995733",6562.95,2335578.65,0,0
"1414963",139,"CASH_OUT",149186.2,"C813881795",0,0,"C980556725",2610954.27,2760140.47,0,0
"1874012",164,"PAYMENT",1192,"C1679146633",1236.32,44.31,"M660579985",0,0,0,0
"423216",18,"CASH_OUT",194559.27,"C1463517320",0,0,"C1006972813",893241.04,1087800.31,0,0
"4417621",322,"CASH_OUT",128620.7,"C1769882818",31472,0,"C1257402971",101834.22,230454.92,0,0
"5223426",370,"DEBIT",4937.61,"C1401362169",3097,0,"C1947276858",1512898.71,1517836.32,0,0
"5410451",378,"CASH_OUT",142272.12,"C532286044",53658,0,"C297803432",0,142272.12,0,0
"5651446",396,"CASH_OUT",111438.29,"C2130351575",120486,9047.71,"C1900963013",1077769.93,1189208.22,0,0
"690109",36,"CASH_OUT",112065.35,"C1627233947",5117,0,"C794627124",0,112065.35,0,0
"2207893",186,"CASH_OUT",169071.11,"C631698411",0,0,"C1383092907",9825748.36,9994819.47,0,0
"5360747",375,"CASH_IN",232324.33,"C132977862",13469,245793.33,"C155339218",198290.46,0,0,0
"1655699",158,"TRANSFER",155489.19,"C1328402377",20029,0,"C2118785931",27692567.82,27848057.01,0,0
"687232",36,"PAYMENT",15020.3,"C408388095",27422,12401.7,"M900866274",0,0,0,0
"5345860",375,"CASH_OUT",120784.18,"C188093863",10330,0,"C1532690749",0,120784.18,0,0
"3171768",238,"CASH_OUT",299485.92,"C2009788161",19987,0,"C1257521002",154519.33,454005.25,0,0
"644701",35,"CASH_IN",271765.25,"C1107817021",10942498.26,11214263.5,"C1244031707",304717.59,32952.34,0,0
"6223944",590,"CASH_OUT",388707.75,"C1101467110",12153,0,"C659431483",0,388707.75,0,0
"5082877",355,"CASH_OUT",48349.98,"C720685151",0,0,"C1171549627",200835.24,255465.72,0,0
"1585349",155,"CASH_IN",30491.93,"C1485502364",7920537.16,7951029.09,"C1237788977",438760.19,408268.26,0,0
"2561803",206,"CASH_OUT",277828.58,"C1266084282",42895,0,"C483647438",0,277828.58,0,0
"2090182",182,"PAYMENT",1341.06,"C1266732186",0,0,"M2124994892",0,0,0,0
"6077482",518,"CASH_OUT",265024.97,"C1662336646",21061,0,"C347847410",110443.09,375468.06,0,0
"429069",18,"CASH_OUT",157748.18,"C1349395772",0,0,"C1312658097",613735.79,811016.05,0,0
"5719261",398,"CASH_OUT",36675.67,"C531171557",30449,0,"C1519145485",251471.93,288147.59,0,0
"3834192",282,"CASH_OUT",289351.09,"C1231720549",0,0,"C470979286",1466104.89,1755455.99,0,0
"5990210",416,"CASH_IN",158583.41,"C1807209785",49142,207725.41,"C108217421",6065590.96,5907007.54,0,0
"5197631",369,"PAYMENT",34261.56,"C622153778",211451,177189.44,"M584663700",0,0,0,0
"3698204",277,"CASH_IN",98960,"C656597975",69286,168246,"C833170343",71454.96,0,0,0
"1007273",46,"CASH_OUT",32571.03,"C725772820",1346,0,"C775476302",16604.38,49175.4,0,0
"6301686",683,"PAYMENT",18857.02,"C1316341254",0,0,"M109823767",0,0,0,0
"5650293",396,"CASH_OUT",97413.16,"C127246546",4316,0,"C2053306192",847862.95,945276.1,0,0
"2924442",229,"PAYMENT",15028.92,"C1690836317",0,0,"M1356561092",0,0,0,0
"4020469",299,"CASH_OUT",91052.91,"C1927075848",0,0,"C728970998",7428821.18,7519874.09,0,0
"3467196",258,"CASH_OUT",115846.07,"C197273010",0,0,"C1797704714",116900.31,232746.38,0,0
"3434892",256,"CASH_OUT",172424.08,"C850691877",0,0,"C1884887042",302877.82,475301.9,0,0
"6271858",621,"CASH_IN",76835.22,"C1031917245",3552977.34,3629812.56,"C718742281",1458729.63,1381894.41,0,0
"5022945",353,"CASH_IN",214675.84,"C253580480",50379,265054.84,"C1232467531",123925.32,0,0,0
"1761368",161,"CASH_IN",119872.21,"C262026774",20341,140213.21,"C74709735",197630.65,77758.44,0,0
"5896165",403,"CASH_OUT",228764.3,"C1628375351",51952,0,"C1004139651",1210503.16,1439267.46,0,0
"708302",37,"PAYMENT",15889.65,"C1590451712",10921,0,"M733206803",0,0,0,0
"2779744",214,"PAYMENT",28006.6,"C871962864",0,0,"M1128993990",0,0,0,0
"3424606",256,"CASH_IN",332470.55,"C1742491159",2025125.98,2357596.53,"C359473936",601623.12,269152.57,0,0
"858630",41,"CASH_OUT",219798.12,"C2111642048",0,0,"C885307421",1249024.94,1468823.06,0,0
"873789",42,"CASH_IN",45835.1,"C2084981660",16071,61906.1,"C104338476",127696.13,0,0,0
"2199693",185,"CASH_IN",407530.46,"C733340063",3758463.73,4165994.19,"C2070471868",1829824.39,1422293.93,0,0
"4515609",325,"PAYMENT",2891.16,"C934202779",0,0,"M1970289280",0,0,0,0
"605893",34,"TRANSFER",1095250.04,"C1054539362",14415,0,"C8361762",1090592.07,2185842.11,0,0
"3162226",237,"CASH_OUT",67826.98,"C1717895569",0,0,"C1061206674",7038015,7105841.98,0,0
"512743",20,"CASH_OUT",200808.87,"C1889448735",0,0,"C1728049474",546916.26,747725.14,0,0
"2836099",226,"CASH_OUT",211002.21,"C1272831027",0,0,"C2175099",4123250.3,4334252.51,0,0
"1589044",155,"CASH_IN",199445.25,"C901444420",6830659.2,7030104.45,"C580431625",6499129.71,6299684.46,0,0
"3315651",252,"CASH_IN",6464.24,"C1009888498",5388,11852.24,"C1062383698",2743437.65,2736973.41,0,0
